Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.93,7.01,6.86,6.96,6.96,4903000
2017-01-04,7.04,7.15,7.0,7.11,7.11,4255700
2017-01-05,7.13,7.24,7.09,7.12,7.12,3259300
2017-01-06,7.11,7.16,7.04,7.16,7.16,3898000
2017-01-09,7.15,7.19,7.07,7.12,7.12,2833900
2017-01-10,7.16,7.2,7.11,7.12,7.12,2137000
2017-01-11,7.15,7.24,7.09,7.22,7.22,2999800
2017-01-12,7.21,7.25,7.1,7.23,7.23,3030200
2017-01-13,7.22,7.35,7.21,7.27,7.27,2803700
2017-01-17,7.3,7.3,7.13,7.16,7.16,3401100
2017-01-18,7.11,7.22,7.11,7.21,7.21,3149400
2017-01-19,7.13,7.28,7.09,7.1,7.1,4403900
2017-01-20,7.11,7.22,7.1,7.13,7.13,2073800
2017-01-23,7.1,7.14,7.02,7.13,7.13,2094100
2017-01-24,7.13,7.24,7.12,7.21,7.21,2790400
2017-01-25,7.24,7.33,7.24,7.32,7.32,3774700
2017-01-26,7.3,7.35,7.24,7.31,7.31,2328000
2017-01-27,7.31,7.35,7.19,7.19,7.19,2121400
2017-01-30,7.19,7.22,6.99,7.05,7.05,4134300
2017-01-31,7.05,7.11,6.98,7.06,7.06,3452300
2017-02-01,7.08,7.08,7.0,7.0,7.0,3431100
2017-02-02,6.98,7.08,6.97,7.0,7.0,3013200
2017-02-03,6.98,7.06,6.96,7.0,7.0,2654000
2017-02-06,6.98,7.04,6.97,7.01,7.01,2392700
2017-02-07,7.01,7.15,7.01,7.14,7.14,3217000
2017-02-08,7.18,7.31,7.12,7.23,7.23,4354600
2017-02-09,7.32,7.34,7.25,7.3,7.3,2817900
2017-02-10,7.3,7.39,7.28,7.38,7.38,2346000
2017-02-13,7.39,7.47,7.35,7.39,7.39,2194600
2017-02-14,7.39,7.39,7.31,7.35,7.35,1454300
2017-02-15,7.31,7.44,7.31,7.4,7.4,2411100
2017-02-16,7.4,7.43,7.35,7.35,7.35,2784300
2017-02-17,7.29,7.5,7.26,7.49,7.49,4072200
2017-02-21,7.46,7.52,7.29,7.32,7.32,4387500
2017-02-22,7.28,7.34,7.2,7.24,7.24,2230400
2017-02-23,7.27,7.29,7.15,7.16,7.16,1648500
2017-02-24,7.15,7.16,7.04,7.08,7.08,2544500
2017-02-27,7.1,7.12,6.99,7.1,7.1,6759400
2017-02-28,7.1,7.11,6.93,6.96,6.96,8271800
2017-03-01,7.0,7.01,6.89,6.89,6.89,7049000
2017-03-02,6.89,7.01,6.88,6.89,6.89,5220600
2017-03-03,6.9,6.99,6.81,6.88,6.88,3198400
2017-03-06,6.81,6.86,6.69,6.76,6.76,6234600
2017-03-07,6.75,6.87,6.72,6.77,6.77,3167700
2017-03-08,6.78,6.81,6.66,6.68,6.68,2809300
2017-03-09,6.65,6.8,6.65,6.79,6.79,3257100
2017-03-10,6.81,6.84,6.76,6.84,6.84,1827000
2017-03-13,6.85,7.03,6.81,7.02,7.02,4087500
2017-03-14,7.05,7.07,6.95,7.04,7.04,4202900
2017-03-15,7.06,7.18,7.01,7.14,7.14,3515900
2017-03-16,7.15,7.2,7.11,7.17,7.17,1568100
2017-03-17,7.2,7.23,7.15,7.15,7.15,2165500
2017-03-20,7.16,7.2,7.06,7.2,7.2,2602200
2017-03-21,7.21,7.28,7.0,7.01,7.01,3656800
2017-03-22,7.0,7.05,6.9,7.04,7.04,2129600
2017-03-23,7.04,7.14,6.98,7.11,7.11,2352400
2017-03-24,7.15,7.17,7.01,7.07,7.07,2654300
2017-03-27,6.97,7.09,6.95,7.09,7.09,2992500
2017-03-28,7.07,7.1,7.0,7.03,7.03,3253900
2017-03-29,7.03,7.08,6.98,7.01,7.01,5652800
2017-03-30,7.02,7.05,6.83,6.95,6.95,9142300
2017-03-31,7.53,8.08,7.47,7.75,7.75,53837400
2017-04-03,7.88,7.89,7.52,7.8,7.8,15658000
2017-04-04,7.75,8.2,7.72,8.07,8.07,16773300
2017-04-05,8.1,8.12,7.92,7.92,7.92,11054900
2017-04-06,7.94,8.0,7.87,7.92,7.92,6287300
2017-04-07,7.91,7.97,7.81,7.81,7.81,5864300
2017-04-10,7.85,7.86,7.71,7.71,7.71,3799500
2017-04-11,7.68,7.7,7.51,7.7,7.7,6422700
2017-04-12,9.09,9.19,8.8,8.93,8.93,48748900
2017-04-13,8.95,8.95,8.6,8.64,8.64,14637100
2017-04-17,8.7,8.82,8.67,8.77,8.77,6077500
2017-04-18,8.68,8.77,8.63,8.73,8.73,8168800
2017-04-19,8.71,9.04,8.71,8.93,8.93,9211000
2017-04-20,8.95,9.13,8.88,9.1,9.1,12430500
2017-04-21,9.11,9.15,9.05,9.08,9.08,8666800
2017-04-24,9.15,9.3,9.14,9.29,9.29,11216000
2017-04-25,9.24,9.33,9.15,9.19,9.19,13183000
2017-04-26,9.18,9.24,9.1,9.2,9.2,7980900
2017-04-27,9.25,9.32,9.17,9.32,9.32,5899100
2017-04-28,9.29,9.37,9.15,9.34,9.34,7240100
2017-05-01,9.34,9.4,9.31,9.32,9.32,4175000
2017-05-02,9.31,9.35,9.25,9.27,9.27,3568500
2017-05-03,9.22,9.35,9.2,9.27,9.27,3165300
2017-05-04,9.26,9.31,9.19,9.25,9.25,3042400
2017-05-05,9.23,9.5,9.23,9.49,9.49,4147500
2017-05-08,9.5,9.6,9.4,9.4,9.4,3528700
2017-05-09,9.44,9.5,9.4,9.47,9.47,2906400
2017-05-10,9.47,9.56,9.44,9.52,9.52,2503800
2017-05-11,9.45,9.49,9.37,9.38,9.38,2232800
2017-05-12,9.35,9.38,9.24,9.35,9.35,2274600
2017-05-15,9.45,9.78,9.45,9.63,9.63,6920900
2017-05-16,9.67,10.41,9.65,10.18,10.18,19818600
2017-05-17,10.04,10.25,10.01,10.1,10.1,13326900
2017-05-18,10.09,10.28,9.95,10.11,10.11,6684300
2017-05-19,10.21,10.42,10.09,10.38,10.38,6777900
2017-05-22,10.43,11.38,10.4,11.32,11.32,22139900
2017-05-23,11.28,11.39,11.1,11.3,11.3,16322500
2017-05-24,11.39,11.39,11.01,11.09,11.09,7240900
2017-05-25,11.16,11.37,11.04,11.22,11.22,8826700
2017-05-26,11.43,11.55,11.07,11.11,11.11,10412200
2017-05-30,10.83,10.96,10.52,10.61,10.61,11583900
2017-05-31,10.65,10.73,10.44,10.57,10.57,6540900
2017-06-01,10.66,11.74,10.65,11.39,11.39,36840600
2017-06-02,11.46,11.48,10.9,11.29,11.29,22925300
2017-06-05,11.36,11.44,11.07,11.15,11.15,10889300
2017-06-06,11.03,11.29,10.98,11.15,11.15,8152100
2017-06-07,11.19,11.34,11.0,11.04,11.04,8397900
2017-06-08,11.05,11.19,10.97,11.17,11.17,5741400
2017-06-09,11.27,11.63,10.78,11.03,11.03,16248400
2017-06-12,11.09,11.09,10.56,10.6,10.6,12574800
2017-06-13,10.71,10.86,10.59,10.84,10.84,5072200
2017-06-14,10.93,10.93,10.45,10.57,10.57,5495800
2017-06-15,10.45,10.54,10.34,10.54,10.54,5036900
2017-06-16,10.5,10.66,10.44,10.53,10.53,4634000
2017-06-19,10.63,10.83,10.59,10.74,10.74,5546200
2017-06-20,10.76,10.87,10.65,10.73,10.73,4175300
2017-06-21,10.78,10.79,10.52,10.65,10.65,7015400
2017-06-22,10.72,11.14,10.46,11.06,11.06,17370000
2017-06-23,10.21,10.27,9.62,9.71,9.71,39609800
2017-06-26,9.6,10.32,9.52,10.27,10.27,19926200
2017-06-27,10.1,10.42,9.97,9.99,9.99,12184100
2017-06-28,10.08,10.3,10.04,10.23,10.23,7327700
2017-06-29,10.22,10.23,9.9,10.0,10.0,7917200
2017-06-30,10.08,10.08,9.8,9.99,9.99,5770300
2017-07-03,9.98,10.11,9.9,9.91,9.91,2265500
2017-07-05,9.9,9.9,9.69,9.9,9.9,6879400
2017-07-06,9.85,9.88,9.7,9.71,9.71,4121100
2017-07-07,9.73,9.93,9.73,9.9,9.9,4338200
2017-07-10,9.9,9.93,9.76,9.86,9.86,3455800
2017-07-11,9.85,9.95,9.79,9.94,9.94,3233300
2017-07-12,10.0,10.04,9.89,9.9,9.9,3880000
2017-07-13,9.88,9.96,9.82,9.89,9.89,2697700
2017-07-14,9.89,10.05,9.89,9.97,9.97,3349800
