Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,15.42,15.59,15.25,15.25,14.184541000000001,481800.0
2014-01-02,15.27,15.62,15.16,15.57,14.482183,783800.0
2014-01-03,15.54,15.78,15.51,15.58,14.491485,465100.0
2014-01-06,15.68,15.69,15.05,15.2,14.138034,839300.0
2014-01-07,15.06,15.34,14.94,15.19,14.128732000000001,498700.0
2014-01-08,15.11,15.25,14.86,15.1,14.045022,694500.0
2014-01-09,15.18,15.3,14.99,15.16,14.100828,573100.0
2014-01-10,15.17,15.2,14.98,15.16,14.100828,259400.0
2014-01-13,15.07,15.23,14.97,15.03,13.979911999999999,457400.0
2014-01-14,15.1,15.23,15.0,15.14,14.082227,353900.0
2014-01-15,15.07,15.35,15.01,15.3,14.231048000000001,435000.0
2014-01-16,15.22,15.56,15.13,15.43,14.351966000000001,672700.0
2014-01-17,14.92,14.97,14.6,14.71,13.682267999999999,1497800.0
2014-01-21,14.67,14.74,14.28,14.41,13.403229999999999,1237500.0
2014-01-22,14.24,14.47,14.02,14.42,13.412529000000001,1114700.0
2014-01-23,14.2,14.53,13.67,14.47,13.459036,1579000.0
2014-01-24,14.43,14.49,13.6,13.91,12.938161000000001,1269800.0
2014-01-27,13.85,14.36,13.48,13.58,12.631217999999999,1417200.0
2014-01-28,13.77,14.01,13.59,13.89,12.919559,1122900.0
2014-01-29,13.71,13.79,13.4,13.41,12.473094,1053000.0
2014-01-30,13.41,13.74,13.38,13.5,12.556808,628600.0
2014-01-31,13.42,13.67,13.35,13.49,12.547506,803300.0
2014-02-03,13.45,13.83,13.13,13.29,12.36148,1217800.0
2014-02-04,14.3,14.44,12.96,13.42,12.482396000000001,1906900.0
2014-02-05,13.44,13.44,12.83,13.36,12.426587,1112100.0
2014-02-06,13.72,13.77,13.32,13.51,12.566108999999999,849800.0
2014-02-07,13.53,13.63,13.19,13.25,12.324275,539300.0
2014-02-10,13.21,13.36,13.15,13.25,12.324275,478100.0
2014-02-11,13.28,13.31,13.16,13.25,12.324275,620000.0
2014-02-12,13.24,13.5,13.12,13.42,12.482396000000001,557400.0
2014-02-13,13.41,13.77,13.31,13.72,12.761435,665300.0
2014-02-14,14.03,15.5,14.03,14.74,13.710172,2969600.0
2014-02-18,14.74,14.83,14.1,14.19,13.198599,1338300.0
2014-02-19,14.1,14.28,13.98,14.11,13.124188,643600.0
2014-02-20,14.47,14.89,14.23,14.55,13.533447,1206900.0
2014-02-21,14.54,14.8,14.39,14.47,13.459036,618300.0
2014-02-24,14.5,14.95,14.49,14.69,13.663665,999800.0
2014-02-25,14.76,15.04,14.73,14.83,13.793887,1135000.0
2014-02-26,14.81,15.48,14.74,14.8,13.765982999999999,4069400.0
2014-02-27,14.73,15.25,14.6,14.71,13.682267999999999,962000.0
2014-02-28,14.71,15.0,14.62,14.85,13.812489000000001,772100.0
2014-03-03,14.8,15.12,14.76,14.91,13.868295999999999,644300.0
2014-03-04,14.98,15.26,14.96,15.07,14.017117,621500.0
2014-03-05,15.1,15.27,14.88,15.01,13.961307999999999,722700.0
2014-03-06,15.0,15.19,14.94,15.08,14.026420000000002,849000.0
2014-03-07,15.0,15.8,14.98,15.62,14.52869,2312200.0
2014-03-10,15.6,15.92,15.3,15.85,14.742622,1266200.0
2014-03-11,15.78,15.8,15.11,15.21,14.147335,1291900.0
2014-03-12,15.2,15.68,15.12,15.45,14.370567999999999,1567500.0
2014-03-13,15.52,15.59,15.07,15.23,14.165935999999999,771400.0
2014-03-14,14.9,15.25,14.73,14.92,13.877597,2607500.0
2014-03-17,15.01,15.24,14.89,15.16,14.100828,758300.0
2014-03-18,15.14,15.26,15.08,15.21,14.147335,1105200.0
2014-03-19,15.16,15.27,14.97,15.06,14.007814999999999,1350100.0
2014-03-20,15.0,15.1,14.9,15.04,13.989213000000001,652500.0
2014-03-21,15.04,15.24,15.0,15.17,14.110129999999998,1229000.0
2014-03-24,15.01,15.24,14.99,15.09,14.035720000000001,606200.0
2014-03-25,15.1,15.2,14.89,15.03,13.979911999999999,747500.0
2014-03-26,15.0,15.07,14.8,14.9,13.858994000000001,904000.0
2014-03-27,14.84,15.01,14.77,14.93,13.886899,540800.0
2014-03-28,14.95,15.05,14.89,14.99,13.942704999999998,693900.0
2014-03-31,15.02,15.02,14.86,14.98,13.933403,1327300.0
2014-04-01,14.98,15.16,14.87,15.0,13.952007,1405900.0
2014-04-02,15.01,15.09,14.85,15.0,13.952007,1917300.0
2014-04-03,15.06,15.23,14.99,15.11,14.054322,1751200.0
2014-04-04,15.14,15.24,15.1,15.21,14.147335,1867500.0
2014-04-07,15.15,15.24,15.14,15.19,14.128732000000001,1052900.0
2014-04-08,15.24,15.38,15.2,15.27,14.203144,954100.0
2014-04-09,15.23,15.35,15.23,15.32,14.24965,515500.0
2014-04-10,15.35,15.68,15.25,15.53,14.444977,594100.0
2014-04-11,15.51,15.58,15.16,15.38,14.305457999999998,740200.0
2014-04-14,15.49,15.74,15.39,15.59,14.500786999999999,968800.0
2014-04-15,15.74,15.78,15.5,15.61,14.519388000000001,1233800.0
2014-04-16,15.72,15.78,15.54,15.75,14.649609,822300.0
2014-04-17,15.78,15.81,15.51,15.75,14.649609,429400.0
2014-04-21,15.72,15.79,15.58,15.66,14.565895999999999,301200.0
2014-04-22,15.65,15.76,15.57,15.65,14.556593,546700.0
2014-04-23,15.71,15.83,15.61,15.76,14.658910999999998,732000.0
2014-04-24,15.78,15.8,15.58,15.63,14.537992000000001,435300.0
2014-04-25,15.5,15.7,15.49,15.63,14.537992000000001,765300.0
2014-04-28,15.64,16.110001,15.61,15.92,14.807732999999999,1241800.0
2014-04-29,15.92,16.16,15.89,15.89,14.779827,684400.0
2014-04-30,15.92,16.059998999999998,15.85,16.049999,14.928647,896200.0
2014-05-01,15.99,16.18,15.82,16.040001,14.919348999999999,752500.0
2014-05-02,16.07,16.389999,15.99,16.360001,15.21699,455000.0
2014-05-05,16.35,16.35,16.01,16.15,15.021660999999998,403100.0
2014-05-06,16.0,16.0,15.78,15.83,14.724019,398200.0
2014-05-07,15.82,15.94,15.69,15.88,14.770526,525600.0
2014-05-08,15.82,16.07,15.64,15.75,14.649609,668000.0
2014-05-09,15.78,15.95,15.69,15.71,14.612403,662700.0
2014-05-12,15.78,16.030001000000002,15.77,15.84,14.733320999999998,1546200.0
2014-05-13,15.59,15.59,15.23,15.44,14.361266,2401400.0
2014-05-14,16.43,16.5,15.75,15.77,14.668211999999999,2258200.0
2014-05-15,16.09,16.23,15.78,15.97,14.854238,1220800.0
2014-05-16,15.94,16.129998999999998,15.76,16.08,14.956553,1945800.0
2014-05-19,16.0,16.209999,15.9,16.200001,15.068169000000001,744600.0
2014-05-20,16.120001000000002,16.23,16.059998999999998,16.200001,15.068169000000001,519200.0
2014-05-21,16.25,16.299999,16.07,16.17,15.040263000000001,530500.0
2014-05-22,16.200001,16.48,16.1,16.43,15.282098000000001,745600.0
2014-05-23,16.290001,16.440001000000002,16.280001000000002,16.379998999999998,15.235591000000001,420500.0
2014-05-27,16.35,16.610001,16.280001000000002,16.58,15.421623,718800.0
2014-05-28,16.58,16.65,16.49,16.540001,15.384418,468000.0
2014-05-29,16.57,16.620001000000002,16.49,16.51,15.356512,382100.0
2014-05-30,16.42,16.709999,16.4,16.68,15.514634,507700.0
2014-06-02,16.629998999999998,16.75,16.52,16.610001,15.449522,302100.0
2014-06-03,16.77,16.950001,16.559998999999998,16.91,15.728562,1108100.0
2014-06-04,16.75,16.92,16.700001,16.92,15.737865,576100.0
2014-06-05,16.98,16.98,16.66,16.889999,15.709959,622900.0
2014-06-06,17.0,17.92,17.0,17.85,16.60289,1408200.0
2014-06-09,18.530001000000002,18.950001,17.6,17.799999,16.556385000000002,1417100.0
2014-06-10,17.860001,17.9,17.290001,17.440001000000002,16.221531,939100.0
2014-06-11,16.57,17.360001,16.559998999999998,17.219998999999998,16.016903,821300.0
2014-06-12,17.17,17.299999,16.99,17.110001,15.914589999999999,634000.0
2014-06-13,17.059998999999998,17.290001,16.889999,17.110001,15.914589999999999,909900.0
2014-06-16,17.18,17.18,16.92,16.969998999999998,15.784370000000001,674600.0
2014-06-17,16.950001,17.059998999999998,16.860001,17.059998999999998,15.868085,674500.0
2014-06-18,17.049999,17.15,16.969998999999998,17.120001000000002,15.923894,345400.0
2014-06-19,17.219998999999998,17.379998999999998,17.120001000000002,17.370001000000002,16.156423999999998,436800.0
2014-06-20,17.299999,17.309998999999998,16.91,16.93,15.747166,963200.0
2014-06-23,16.610001,17.02,16.610001,16.959999,15.775068,845000.0
2014-06-24,17.02,17.08,16.67,16.75,15.579742000000001,707400.0
2014-06-25,17.02,17.02,16.67,16.809998999999998,15.635549,537300.0
2014-06-26,16.799999,16.91,16.629998999999998,16.82,15.644851000000001,399300.0
2014-06-27,16.780001000000002,16.889999,16.51,16.84,15.663454999999999,1159200.0
2014-06-30,16.93,17.18,16.76,17.129998999999998,15.933193,753600.0
2014-07-01,17.24,17.530001000000002,17.219998999999998,17.49,16.26804,1108100.0
2014-07-02,17.49,17.940001000000002,17.469998999999998,17.799999,16.556385000000002,900700.0
2014-07-03,17.790001,18.15,17.690001000000002,18.15,16.881929,857500.0
2014-07-07,18.059998999999998,18.059998999999998,17.860001,18.0,16.742409,426200.0
2014-07-08,17.950001,18.1,17.809998999999998,17.959999,16.705202,972600.0
2014-07-09,17.889999,17.93,17.559998999999998,17.92,16.667995,1060400.0
2014-07-10,17.83,17.93,17.66,17.82,16.574986,1545200.0
2014-07-11,17.82,17.82,17.469998999999998,17.49,16.26804,464200.0
2014-07-14,17.58,17.58,17.17,17.190001000000002,15.989,1665500.0
2014-07-15,17.209999,17.540001,17.209999,17.52,16.295946,481300.0
2014-07-16,17.629998999999998,17.75,17.389999,17.389999,16.175026000000003,324000.0
2014-07-17,17.360001,17.48,17.110001,17.309998999999998,16.100616,303500.0
2014-07-18,17.35,17.43,17.190001000000002,17.32,16.109915,327800.0
2014-07-21,17.27,17.27,16.98,17.18,15.9797,339700.0
2014-07-22,17.23,17.32,16.950001,17.309998999999998,16.100616,484500.0
2014-07-23,17.35,17.43,17.15,17.280001000000002,16.07271,229300.0
2014-07-24,17.309998999999998,17.32,17.0,17.110001,15.914589999999999,200000.0
2014-07-25,17.120001000000002,17.190001000000002,17.0,17.129998999999998,15.933193,209900.0
2014-07-28,17.16,17.16,16.98,17.0,15.812276999999998,386100.0
2014-07-29,17.0,17.049999,16.940001000000002,17.0,15.812276999999998,666500.0
2014-07-30,17.059998999999998,17.139999,16.940001000000002,17.01,15.821576,306200.0
2014-07-31,16.93,17.219998999999998,16.860001,17.110001,15.914589999999999,628600.0
2014-08-01,17.1,17.23,16.75,16.98,15.793672,485500.0
2014-08-04,17.02,17.299999,16.93,17.209999,16.007601,341200.0
2014-08-05,17.190001000000002,17.360001,17.09,17.309998999999998,16.100616,422400.0
2014-08-06,17.27,17.5,17.27,17.440001000000002,16.221531,336600.0
2014-08-07,17.43,17.49,17.0,17.049999,15.858782000000001,637800.0
2014-08-08,17.02,17.360001,16.93,17.33,16.119219,484400.0
2014-08-11,17.360001,17.68,17.309998999999998,17.620001000000002,16.38896,388800.0
2014-08-12,17.59,17.68,17.459999,17.57,16.342451,334500.0
2014-08-13,17.58,17.709999,17.48,17.559998999999998,16.333149,205900.0
2014-08-14,17.58,17.870001000000002,17.48,17.620001000000002,16.38896,474600.0
2014-08-15,17.610001,17.85,17.6,17.85,16.60289,377800.0
2014-08-18,17.82,17.969998999999998,17.719998999999998,17.92,16.667995,399800.0
2014-08-19,17.84,18.25,17.84,18.01,16.751711,423800.0
2014-08-20,18.0,18.16,17.780001000000002,17.959999,16.705202,350800.0
2014-08-21,17.969998999999998,18.17,17.83,18.09,16.826122,604000.0
2014-08-22,18.09,18.450001,17.91,18.35,17.067957,755600.0
2014-08-25,18.360001,18.469998999999998,18.049999,18.23,16.956341000000002,448100.0
2014-08-26,18.18,18.24,17.969998999999998,18.02,16.761011,536300.0
2014-08-27,17.98,18.18,17.879998999999998,18.01,16.751711,627600.0
2014-08-28,17.07,17.75,17.040001,17.389999,16.175026000000003,1479900.0
2014-08-29,17.24,17.43,16.870001000000002,17.190001000000002,15.989,1106300.0
2014-09-02,17.190001000000002,17.360001,17.0,17.219998999999998,16.016903,2161400.0
2014-09-03,17.25,17.379998999999998,17.18,17.219998999999998,16.016903,512600.0
2014-09-04,17.27,17.290001,17.1,17.190001000000002,15.989,326600.0
2014-09-05,17.17,17.35,17.0,17.299999,16.091312,674100.0
2014-09-08,16.809998999999998,17.360001,16.68,17.26,16.054111,1047700.0
2014-09-09,17.16,17.33,17.09,17.15,15.951796,924800.0
2014-09-10,17.18,17.370001000000002,17.059998999999998,17.32,16.109915,754500.0
2014-09-11,17.26,17.559998999999998,17.120001000000002,17.559998999999998,16.333149,886300.0
2014-09-12,17.51,17.690001000000002,17.379998999999998,17.559998999999998,16.333149,866300.0
2014-09-15,17.43,17.52,17.360001,17.379998999999998,16.165722,805400.0
2014-09-16,17.43,17.440001000000002,17.200001,17.23,16.026203,629700.0
