Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.95,12.25,11.9,12.05,11.797836,912900
2017-01-04,12.05,12.3,12.05,12.25,11.99365,736600
2017-01-05,12.2,12.35,12.18,12.25,11.99365,812100
2017-01-06,12.25,12.4,12.1,12.25,11.99365,367900
2017-01-09,12.25,12.45,12.25,12.4,12.140512,471000
2017-01-10,12.35,12.5,12.28,12.5,12.23842,638900
2017-01-11,12.45,12.55,12.33,12.55,12.287372999999999,800000
2017-01-12,12.5,12.6,12.3,12.45,12.189466,1157000
2017-01-13,12.45,12.58,12.4,12.45,12.189466,381700
2017-01-17,12.4,12.73,12.3,12.7,12.434234,529800
2017-01-18,12.7,12.7,12.4,12.55,12.287372999999999,867600
2017-01-19,12.55,12.6,12.4,12.45,12.189466,439800
2017-01-20,12.45,12.55,12.35,12.35,12.091558000000001,644200
2017-01-23,12.35,12.45,12.3,12.4,12.140512,471000
2017-01-24,12.35,12.63,12.3,12.6,12.336328,359000
2017-01-25,12.6,12.8,12.55,12.7,12.434234,792000
2017-01-26,12.75,12.8,12.5,12.55,12.287372999999999,424200
2017-01-27,12.55,12.7,12.5,12.65,12.385278999999999,613300
2017-01-30,12.7,12.7,12.45,12.7,12.434234,445300
2017-01-31,12.7,12.7,12.4,12.65,12.385278999999999,457700
2017-02-01,12.65,12.75,12.5,12.7,12.434234,379500
2017-02-02,12.7,12.7,12.5,12.6,12.336328,414100
2017-02-03,12.6,12.65,12.5,12.6,12.336328,280000
2017-02-06,12.6,12.7,12.55,12.55,12.287372999999999,185800
2017-02-07,12.55,12.6,12.4,12.55,12.287372999999999,386500
2017-02-08,12.55,12.55,12.35,12.45,12.189466,283600
2017-02-09,12.4,12.75,12.4,12.75,12.483187,494600
2017-02-10,12.5,13.75,12.5,13.6,13.315401000000001,749200
2017-02-13,13.7,13.8,13.35,13.35,13.070632000000002,658600
2017-02-14,13.4,13.5,13.25,13.35,13.070632000000002,561300
2017-02-15,13.2,13.53,13.2,13.45,13.168539,1495500
2017-02-16,13.45,13.5,13.28,13.4,13.119584,557100
2017-02-17,13.4,13.55,13.2,13.5,13.217492000000002,634200
2017-02-21,13.5,13.8,13.4,13.65,13.364353,850300
2017-02-22,13.65,13.65,13.4,13.6,13.315401000000001,421900
2017-02-23,13.65,13.65,13.38,13.5,13.217492000000002,441700
2017-02-24,13.5,13.5,13.23,13.4,13.119584,277300
2017-02-27,13.4,13.5,13.3,13.4,13.119584,596700
2017-02-28,13.35,13.4,13.1,13.2,12.92377,515800
2017-03-01,13.3,13.5,13.25,13.4,13.119584,353800
2017-03-02,13.4,13.45,13.15,13.25,12.972724000000001,455800
2017-03-03,13.25,13.25,13.1,13.25,12.972724000000001,417300
2017-03-06,13.15,13.3,13.1,13.25,12.972724000000001,328800
2017-03-07,13.2,13.4,12.9,13.0,12.727955999999999,498900
2017-03-08,12.9,13.05,12.78,12.8,12.532141000000001,458400
2017-03-09,12.9,12.9,12.66,12.8,12.532141000000001,406100
2017-03-10,12.85,12.9,12.55,12.8,12.532141000000001,322800
2017-03-13,12.7,12.75,12.53,12.55,12.384124,441400
2017-03-14,12.55,12.7,12.5,12.7,12.532141000000001,294900
2017-03-15,12.75,12.95,12.6,12.9,12.729497,386500
2017-03-16,12.8,12.98,12.8,12.9,12.729497,274500
2017-03-17,12.95,13.05,12.85,12.95,12.778837,559100
2017-03-20,13.0,13.0,12.83,12.9,12.729497,210700
2017-03-21,13.0,13.05,12.8,12.85,12.680159,610900
2017-03-22,12.95,12.95,12.75,12.95,12.778837,593200
2017-03-23,12.95,13.03,12.85,12.95,12.778837,804000
2017-03-24,13.0,13.08,12.88,12.95,12.778837,512900
2017-03-27,12.9,13.05,12.85,12.95,12.778837,553400
2017-03-28,12.95,13.3,12.95,13.25,13.074871,548700
2017-03-29,13.25,13.5,13.2,13.45,13.272228,790300
2017-03-30,13.5,13.8,13.4,13.7,13.518923000000001,2143100
2017-03-31,13.7,13.7,13.33,13.5,13.321568,511300
2017-04-03,13.55,13.55,13.2,13.25,13.074871,446300
2017-04-04,13.25,13.35,13.1,13.15,12.976192,569500
2017-04-05,13.15,13.2,12.93,13.05,12.877516,455100
2017-04-06,13.0,13.09,12.85,12.95,12.778837,396000
2017-04-07,12.9,12.95,12.85,12.9,12.729497,159200
2017-04-10,12.9,13.05,12.85,12.9,12.729497,300900
2017-04-11,12.85,12.95,12.8,12.85,12.680159,381600
2017-04-12,12.9,13.0,12.83,12.95,12.778837,416400
2017-04-13,12.85,12.95,12.7,12.7,12.532141000000001,319500
2017-04-17,12.8,12.9,12.7,12.85,12.680159,279700
2017-04-18,12.85,12.85,12.6,12.7,12.532141000000001,413400
2017-04-19,12.75,12.95,12.75,12.85,12.680159,249800
2017-04-20,12.85,13.45,12.85,13.35,13.173551000000002,457800
2017-04-21,13.3,13.4,13.13,13.3,13.12421,453400
2017-04-24,13.4,13.45,13.3,13.35,13.173551000000002,1093400
2017-04-25,13.4,13.5,13.35,13.45,13.272228,199900
2017-04-26,13.4,13.5,13.25,13.25,13.074871,712400
2017-04-27,13.3,13.38,13.2,13.2,13.025532,524100
2017-04-28,13.25,13.25,12.9,13.0,12.828176,894200
2017-05-01,13.05,13.1,12.92,13.0,12.828176,234500
2017-05-02,13.0,13.05,12.9,12.9,12.729497,316300
2017-05-03,12.85,12.95,12.75,12.85,12.680159,371100
2017-05-04,12.9,12.9,12.75,12.85,12.680159,347900
2017-05-05,12.8,13.0,12.8,13.0,12.828176,193400
2017-05-08,12.95,13.1,12.95,13.1,12.926853999999999,369100
2017-05-09,13.15,13.4,13.1,13.4,13.222889000000002,786600
2017-05-10,12.95,13.6,12.65,13.05,12.877516,683300
2017-05-11,13.05,13.15,12.88,13.0,12.828176,554300
2017-05-12,13.0,13.1,12.95,13.05,12.877516,394600
2017-05-15,13.05,13.33,13.05,13.3,13.12421,299500
2017-05-16,13.25,13.35,13.2,13.3,13.12421,332700
2017-05-17,13.2,13.25,13.02,13.05,12.877516,482900
2017-05-18,13.1,13.18,12.97,13.05,12.877516,548000
2017-05-19,13.05,13.23,13.0,13.2,13.025532,230600
2017-05-22,13.2,13.55,13.2,13.55,13.370907,214100
2017-05-23,13.55,13.68,13.4,13.5,13.321568,305200
2017-05-24,13.55,13.65,13.5,13.65,13.469584,229400
2017-05-25,13.65,13.7,13.55,13.6,13.420245000000001,187800
2017-05-26,13.6,13.8,13.6,13.8,13.617602,314500
2017-05-30,13.8,13.8,13.55,13.65,13.469584,244700
2017-05-31,13.7,13.75,13.48,13.7,13.518923000000001,329500
2017-06-01,13.7,14.0,13.7,14.0,13.814959,420400
2017-06-02,13.95,14.05,13.8,13.95,13.765619000000001,1191500
2017-06-05,13.95,14.05,13.8,13.8,13.617602,1358900
2017-06-06,13.85,13.95,13.7,13.9,13.71628,1304400
2017-06-07,14.0,14.0,13.75,13.8,13.617602,1307600
2017-06-08,13.75,13.95,13.55,13.95,13.765619000000001,413200
2017-06-09,13.95,14.1,13.83,14.1,13.913638,291400
2017-06-12,14.05,14.25,14.0,14.05,13.864298000000002,254400
2017-06-13,14.05,14.13,13.93,13.95,13.765619000000001,201500
2017-06-14,14.05,14.1,13.9,14.0,13.814959,960300
2017-06-15,14.0,14.08,13.9,14.05,13.864298000000002,255600
2017-06-16,14.1,14.25,14.0,14.15,13.962976000000001,815100
2017-06-19,14.15,14.3,14.15,14.25,14.061654,191000
2017-06-20,14.25,14.25,13.95,14.0,13.814959,412100
2017-06-21,14.0,14.1,13.93,13.95,13.765619000000001,327000
