<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HDC,20190823,21.55,22.00,21.40,21.90,684140,21.55,22.00,21.40,21.90,0,3000,106650
HDC,20190822,20.70,21.70,20.70,21.55,820470,20.70,21.70,20.70,21.55,0,1000,115680
HDC,20190821,20.90,21.00,20.50,20.85,527330,20.90,21.00,20.50,20.85,0,1000,0
HDC,20190820,21.00,21.10,20.55,20.90,1089980,21.00,21.10,20.55,20.90,0,2000,215000
HDC,20190819,19.35,20.55,19.35,20.55,1433000,19.35,20.55,19.35,20.55,0,2000,100000
HDC,20190816,19.10,19.75,19.10,19.25,470750,19.10,19.75,19.10,19.25,0,0,0
HDC,20190815,18.85,19.10,18.65,19.10,619880,18.85,19.10,18.65,19.10,0,0,0
HDC,20190814,19.50,20.00,19.00,19.05,577330,19.50,20.00,19.00,19.05,0,0,0
HDC,20190813,19.70,20.40,19.05,19.50,834910,19.70,20.40,19.05,19.50,0,1000,14000
HDC,20190812,18.80,19.70,18.70,19.70,788160,18.80,19.70,18.70,19.70,0,1000,0
HDC,20190809,19.05,19.10,18.65,18.65,887660,19.05,19.10,18.65,18.65,0,0,0
HDC,20190808,18.30,19.30,18.30,19.05,1475420,18.30,19.30,18.30,19.05,0,177260,189630
HDC,20190807,16.60,18.30,17.30,18.30,1311430,16.60,18.30,17.30,18.30,0,0,0
HDC,20190806,16.60,17.45,16.60,17.40,1136430,16.60,17.45,16.60,17.40,0,1050,0
HDC,20190805,16.25,17.30,16.25,16.90,1091310,16.25,17.30,16.25,16.90,0,0,0
HDC,20190802,16.45,16.60,16.20,16.40,852350,16.45,16.60,16.20,16.40,0,1200,0
HDC,20190801,15.80,16.45,15.80,16.45,922400,15.80,16.45,15.80,16.45,0,91900,10
HDC,20190731,15.70,15.95,15.60,15.95,254680,15.70,15.95,15.60,15.95,0,0,0
