<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DBC,20200805,47.1000,48.5000,46.7000,47.8000,2469760,47.1000,48.5000,46.7000,47.8000,0,12800,194240
DBC,20200804,48.2000,48.7500,47.0500,47.1000,2366600,48.2000,48.7500,47.0500,47.1000,0,12800,194240
DBC,20200803,45.4000,47.9000,45.4000,47.7000,3571870,45.4000,47.9000,45.4000,47.7000,0,159530,17920
DBC,20200731,44.8000,46.6000,44.1000,45.2000,1645950,44.8000,46.6000,44.1000,45.2000,20000,5650,3340
DBC,20200730,46.3000,47.3000,45.9000,45.9000,1965450,46.3000,47.3000,45.9000,45.9000,0,25200,48640
DBC,20200729,47.0000,47.6000,45.3000,45.8000,6026380,47.0000,47.6000,45.3000,45.8000,0,25200,48640
DBC,20200728,46.8000,49.0000,46.0000,48.7000,3220110,46.8000,49.0000,46.0000,48.7000,0,131680,100000
DBC,20200727,47.1000,49.0000,45.8500,45.8500,5031720,47.1000,49.0000,45.8500,45.8500,0,65010,11290
DBC,20200724,52.0000,52.7000,48.9500,49.3000,6371270,52.0000,52.7000,48.9500,49.3000,0,26190,102690
DBC,20200723,51.0000,52.9000,51.0000,52.6000,2689040,51.0000,52.9000,51.0000,52.6000,0,94790,207240
DBC,20200722,50.2000,52.5000,49.7500,51.5000,3909780,50.2000,52.5000,49.7500,51.5000,0,94790,207240
DBC,20200721,50.3000,50.7000,49.3500,49.8000,2683730,50.3000,50.7000,49.3500,49.8000,25000,9220,23130
DBC,20200720,50.0000,51.5000,49.2000,50.0000,2836650,50.0000,51.5000,49.2000,50.0000,37000,33600,64000
DBC,20200717,49.5000,51.5000,49.5000,50.0000,3029760,49.5000,51.5000,49.5000,50.0000,0,22630,167230
DBC,20200716,45.8000,48.7000,45.5000,48.7000,4224910,45.8000,48.7000,45.5000,48.7000,0,26650,102180
DBC,20200715,46.3000,46.3000,45.5500,45.5500,1451530,46.3000,46.3000,45.5500,45.5500,0,63440,140360
DBC,20200714,45.5000,46.2000,45.2000,45.6000,998670,45.5000,46.2000,45.2000,45.6000,0,27870,3000
DBC,20200713,46.6000,47.1500,45.3000,46.0000,1295160,46.6000,47.1500,45.3000,46.0000,0,10270,73300
DBC,20200710,46.5000,47.4000,45.8500,46.4000,2053270,46.5000,47.4000,45.8500,46.4000,0,62950,130180
