<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DIG,20200709,12.95,13.70,12.95,13.50,4201640,12.95,13.70,12.95,13.50,0,9200,0
DIG,20200708,12.60,12.95,12.50,12.95,1307570,12.60,12.95,12.50,12.95,0,0,2100
DIG,20200707,13.00,13.00,12.70,12.70,751350,13.00,13.00,12.70,12.70,487000,0,2100
DIG,20200706,12.95,13.05,12.65,12.95,734240,12.95,13.05,12.65,12.95,0,0,0
DIG,20200703,12.25,13.00,12.20,12.95,1446490,12.25,13.00,12.20,12.95,222060,1730,20010
DIG,20200702,12.30,12.45,12.10,12.25,680740,12.30,12.45,12.10,12.25,0,1730,20010
DIG,20200701,12.00,12.35,12.00,12.30,707110,12.00,12.35,12.00,12.30,0,4300,6720
DIG,20200630,12.15,12.30,11.90,12.25,1882420,12.15,12.30,11.90,12.25,0,7400,193190
DIG,20200629,12.15,12.15,11.45,12.15,1944850,12.15,12.15,11.45,12.15,222060,7400,193190
DIG,20200626,12.25,12.75,12.15,12.15,682720,12.25,12.75,12.15,12.15,0,6040,20090
DIG,20200625,12.10,12.40,12.00,12.40,630320,12.10,12.40,12.00,12.40,1900000,6040,20090
DIG,20200624,12.45,12.50,12.15,12.35,989120,12.45,12.50,12.15,12.35,0,43530,0
DIG,20200623,12.15,12.55,12.15,12.45,1228080,12.15,12.55,12.15,12.45,9800000,7110,9200
DIG,20200622,12.40,12.40,12.10,12.35,718120,12.40,12.40,12.10,12.35,0,0,16860
DIG,20200619,11.95,12.35,11.95,12.30,1217400,11.95,12.35,11.95,12.30,0,44550,7400
DIG,20200618,11.85,12.00,11.75,12.00,807310,11.85,12.00,11.75,12.00,0,0,27220
DIG,20200617,12.15,12.40,11.95,12.00,797480,12.15,12.40,11.95,12.00,0,24830,4650
DIG,20200616,12.10,12.25,11.90,12.15,834780,12.10,12.25,11.90,12.15,0,24830,4650
DIG,20200615,12.25,12.30,11.50,12.05,1784580,12.25,12.30,11.50,12.05,0,12970,41320
DIG,20200612,11.80,12.30,11.80,12.30,1769700,11.80,12.30,11.80,12.30,0,17720,30090
DIG,20200611,13.25,13.60,12.35,12.40,2818360,13.25,13.60,12.35,12.40,0,2410,33430
