<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
STB,20200729,10.2500,10.3500,9.9500,10.1500,14831390,10.2500,10.3500,9.9500,10.1500,0,1221020,127480
STB,20200728,10.2000,10.6000,10.1000,10.5500,13933220,10.2000,10.6000,10.1000,10.5500,0,1221020,127480
STB,20200727,10.4000,10.6500,10.1500,10.1500,26014460,10.4000,10.6500,10.1500,10.1500,1000000,1325990,346080
STB,20200724,11.1500,11.2500,10.6000,10.9000,20162440,11.1500,11.2500,10.6000,10.9000,0,38200,142460
STB,20200723,11.3500,11.4000,11.1000,11.2500,8264440,11.3500,11.4000,11.1000,11.2500,0,38200,142460
STB,20200722,11.5500,11.6000,11.2500,11.3000,8504960,11.5500,11.6000,11.2500,11.3000,0,850650,21850
STB,20200721,11.4500,11.6000,11.4000,11.5000,7047320,11.4500,11.6000,11.4000,11.5000,0,850650,21850
STB,20200720,11.4500,11.7000,11.4500,11.4500,8089560,11.4500,11.7000,11.4500,11.4500,250000,3500,1238220
STB,20200717,11.6000,11.7500,11.5000,11.6000,9198320,11.6000,11.7500,11.5000,11.6000,0,105000,0
STB,20200716,11.5500,11.6000,11.4500,11.6000,5104280,11.5500,11.6000,11.4500,11.6000,0,551060,24260
STB,20200715,11.6500,11.7000,11.5500,11.5500,5535210,11.6500,11.7000,11.5500,11.5500,171219,551060,24260
STB,20200714,11.4000,11.6500,11.3500,11.5500,6750550,11.4000,11.6500,11.3500,11.5500,260000,125080,100000
STB,20200713,11.6500,11.7000,11.4500,11.4500,6095670,11.6500,11.7000,11.4500,11.4500,0,150700,1147810
STB,20200710,11.7000,11.8000,11.5000,11.5500,8382730,11.7000,11.8000,11.5000,11.5500,0,171760,53810
STB,20200709,11.7000,11.8500,11.5000,11.8000,14045940,11.7000,11.8500,11.5000,11.8000,0,32800,83440
STB,20200708,11.4000,11.7000,11.3500,11.5000,9193690,11.4000,11.7000,11.3500,11.5000,0,11060,387580
STB,20200707,11.6000,11.7000,11.4000,11.4500,8914970,11.6000,11.7000,11.4000,11.4500,130000,11060,387580
STB,20200706,11.0500,11.6000,11.0500,11.5500,16285280,11.0500,11.6000,11.0500,11.5500,0,220280,182510
STB,20200703,11.1500,11.2000,11.0000,11.0000,3885370,11.1500,11.2000,11.0000,11.0000,0,55080,178480
STB,20200702,11.2000,11.3000,11.0000,11.0500,4903810,11.2000,11.3000,11.0000,11.0500,0,801010,134050
STB,20200701,10.8000,11.3500,10.7500,11.2000,9138780,10.8000,11.3500,10.7500,11.2000,0,801010,134050
STB,20200630,11.1000,11.2000,10.6000,10.7500,10862380,11.1000,11.2000,10.6000,10.7500,0,211610,152750
STB,20200629,11.3000,11.3000,10.9000,10.9500,13159470,11.3000,11.3000,10.9000,10.9500,20006,211610,152750
STB,20200626,11.6000,11.6500,11.2000,11.3000,6481490,11.6000,11.6500,11.2000,11.3000,0,781790,125190
STB,20200625,11.1500,11.5000,10.9500,11.4500,10662480,11.1500,11.5000,10.9500,11.4500,0,781790,125190
STB,20200624,11.6000,11.6500,11.2000,11.2000,11843150,11.6000,11.6500,11.2000,11.2000,0,117890,148480
STB,20200623,11.6500,11.8000,11.4000,11.5500,12607230,11.6500,11.8000,11.4000,11.5500,0,112200,73200
