<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PHR,20201007,58.7000,59.0000,58.3000,58.6000,708270,58.7000,59.0000,58.3000,58.6000,0,20610,10
PHR,20201006,59.0000,59.5000,58.4000,58.7000,906020,59.0000,59.5000,58.4000,58.7000,0,155800,1410
PHR,20201005,57.7000,59.0000,57.7000,58.7000,1078280,57.7000,59.0000,57.7000,58.7000,0,155800,1410
PHR,20201002,58.3000,58.5000,56.7000,57.8000,892530,58.3000,58.5000,56.7000,57.8000,0,900,125580
PHR,20201001,58.3000,59.0000,58.2000,58.3000,656760,58.3000,59.0000,58.2000,58.3000,0,8000,0
PHR,20200930,56.7000,59.1000,56.6000,58.3000,1767490,56.7000,59.1000,56.6000,58.3000,0,0,109250
PHR,20200929,58.0000,58.2000,56.6000,56.8000,1495930,58.0000,58.2000,56.6000,56.8000,0,1720,157680
PHR,20200928,58.3000,58.3000,57.5000,58.0000,722690,58.3000,58.3000,57.5000,58.0000,0,2840,6500
PHR,20200925,58.7000,58.7000,57.7000,58.1000,672330,58.7000,58.7000,57.7000,58.1000,0,1000,18540
PHR,20200924,58.4000,59.0000,58.0000,58.5000,661940,58.4000,59.0000,58.0000,58.5000,0,7510,1100
PHR,20200923,57.5000,58.6000,57.3000,58.5000,954060,57.5000,58.6000,57.3000,58.5000,0,3790,27990
PHR,20200922,57.1000,58.3000,57.0000,57.5000,704290,57.1000,58.3000,57.0000,57.5000,0,2050,4050
PHR,20200921,58.0000,58.3000,57.4000,57.5000,1154580,58.0000,58.3000,57.4000,57.5000,0,3270,22050
PHR,20200918,58.1000,58.2000,57.7000,57.9000,577420,58.1000,58.2000,57.7000,57.9000,0,20550,1000
PHR,20200917,58.6000,58.9000,57.5000,58.0000,1039960,58.6000,58.9000,57.5000,58.0000,0,100980,14340
PHR,20200916,59.2000,59.4000,58.6000,58.6000,559130,59.2000,59.4000,58.6000,58.6000,0,200950,8810
PHR,20200915,59.9000,59.9000,59.2000,59.2000,817690,59.9000,59.9000,59.2000,59.2000,0,200950,8810
PHR,20200914,58.5000,59.5000,58.3000,59.4000,1321220,58.5000,59.5000,58.3000,59.4000,0,32560,0
PHR,20200911,58.4000,58.9000,58.2000,58.5000,628720,58.4000,58.9000,58.2000,58.5000,0,5740,0
PHR,20200910,58.9000,59.3000,58.3000,58.5000,1134500,58.9000,59.3000,58.3000,58.5000,0,2000,6450
PHR,20200909,57.2000,59.0000,56.8000,58.3000,1139550,57.2000,59.0000,56.8000,58.3000,0,3610,22680
PHR,20200908,57.0000,57.6000,56.7000,57.5000,597820,57.0000,57.6000,56.7000,57.5000,0,3610,22680
PHR,20200907,58.0000,58.6000,57.0000,57.0000,974090,58.0000,58.6000,57.0000,57.0000,0,560,38080
PHR,20200904,57.0000,58.2000,56.7000,58.0000,1280320,57.0000,58.2000,56.7000,58.0000,0,14490,2000
PHR,20200903,58.3000,58.3000,57.3000,57.6000,980640,58.3000,58.3000,57.3000,57.6000,0,253170,51650
PHR,20200901,56.4000,57.7000,56.3000,57.6000,930280,56.4000,57.7000,56.3000,57.6000,0,35270,140600
PHR,20200831,57.8000,58.0000,56.2000,56.5000,2269640,57.8000,58.0000,56.2000,56.5000,0,2800,53380
PHR,20200828,59.1000,59.5000,58.0000,58.0000,1443570,59.1000,59.5000,58.0000,58.0000,0,25880,35650
PHR,20200827,58.5000,59.3000,58.4000,58.9000,716960,58.5000,59.3000,58.4000,58.9000,0,57500,45160
PHR,20200826,58.1000,59.9000,57.7000,58.5000,1718370,58.1000,59.9000,57.7000,58.5000,20000,50850,2000
PHR,20200825,58.7000,59.0000,58.0000,58.1000,1152780,58.7000,59.0000,58.0000,58.1000,0,8550,23040
PHR,20200824,59.0000,59.0000,58.0000,58.5000,1930640,59.0000,59.0000,58.0000,58.5000,0,8400,6490
PHR,20200821,57.4000,59.2000,57.4000,58.9000,2241600,57.4000,59.2000,57.4000,58.9000,170000,960770,81490
PHR,20200820,57.3000,58.3000,56.7000,57.6000,2485510,57.3000,58.3000,56.7000,57.6000,0,1050200,44190
PHR,20200819,54.1000,57.3000,54.1000,57.3000,4381730,54.1000,57.3000,54.1000,57.3000,0,122790,68030
PHR,20200818,54.2000,54.3000,53.8000,54.1000,845550,54.2000,54.3000,53.8000,54.1000,0,20510,1000
PHR,20200817,54.0000,54.3000,53.3000,54.0000,746150,54.0000,54.3000,53.3000,54.0000,0,1140,24380
PHR,20200814,53.8000,55.0000,53.6000,54.0000,1835810,53.8000,55.0000,53.6000,54.0000,0,5650,1300
PHR,20200813,53.7000,54.0000,53.2000,53.7000,1022060,53.7000,54.0000,53.2000,53.7000,0,4510,7810
PHR,20200812,53.7000,53.9000,53.1000,53.6000,972130,53.7000,53.9000,53.1000,53.6000,0,31500,51280
PHR,20200811,54.4000,54.6000,53.5000,53.7000,1284760,54.4000,54.6000,53.5000,53.7000,0,5260,50100
PHR,20200810,53.4000,54.8000,52.9000,54.0000,2348110,53.4000,54.8000,52.9000,54.0000,0,150740,26860
PHR,20200807,52.7000,53.3000,52.6000,52.9000,944690,52.7000,53.3000,52.6000,52.9000,0,0,13740
PHR,20200806,53.0000,53.2000,52.3000,52.7000,869730,53.0000,53.2000,52.3000,52.7000,0,36150,11950
PHR,20200805,51.8000,53.5000,51.3000,53.0000,1878560,51.8000,53.5000,51.3000,53.0000,0,125300,53200
PHR,20200804,51.5000,52.3000,51.4000,51.8000,825130,51.5000,52.3000,51.4000,51.8000,0,105590,1210
PHR,20200803,50.0000,51.6000,50.0000,51.5000,981510,50.0000,51.6000,50.0000,51.5000,0,190740,0
PHR,20200731,49.8000,51.0000,49.5000,50.0000,1017640,49.8000,51.0000,49.5000,50.0000,0,312160,0
PHR,20200730,50.8000,51.2000,50.4000,50.5000,911760,50.8000,51.2000,50.4000,50.5000,295000,310100,57400
PHR,20200729,50.2000,50.7000,48.0000,50.7000,2593410,50.2000,50.7000,48.0000,50.7000,0,310100,57400
PHR,20200728,50.4000,51.7000,49.6000,51.5000,1368150,50.4000,51.7000,49.6000,51.5000,0,160670,61360
PHR,20200727,52.1000,52.3000,49.0500,49.0500,2669980,52.1000,52.3000,49.0500,49.0500,0,262820,11360
PHR,20200724,54.8000,55.4000,51.0000,52.7000,3233330,54.8000,55.4000,51.0000,52.7000,0,340,2000
PHR,20200723,54.2000,54.7000,53.4000,54.5000,814140,54.2000,54.7000,53.4000,54.5000,0,340,2000
PHR,20200722,55.3000,55.8000,54.0000,54.3000,1561650,55.3000,55.8000,54.0000,54.3000,0,104760,67530
PHR,20200721,53.6000,54.8000,53.0000,54.8000,1907660,53.6000,54.8000,53.0000,54.8000,0,3340,118920
PHR,20200720,53.4000,55.0000,53.0000,53.4000,1395410,53.4000,55.0000,53.0000,53.4000,0,3340,118920
PHR,20200717,52.6000,54.5000,52.2000,53.7000,2220270,52.6000,54.5000,52.2000,53.7000,0,3450,10820
PHR,20200716,53.0000,53.0000,52.2000,52.6000,391220,53.0000,53.0000,52.2000,52.6000,0,30500,11870
PHR,20200715,53.0000,53.4000,52.6000,52.7000,496050,53.0000,53.4000,52.6000,52.7000,0,30500,11870
PHR,20200714,52.1000,53.0000,51.9000,53.0000,587370,52.1000,53.0000,51.9000,53.0000,0,16320,1000
PHR,20200713,52.9000,53.0000,51.9000,52.2000,907450,52.9000,53.0000,51.9000,52.2000,0,1600,4000
PHR,20200710,53.5000,53.5000,52.1000,52.9000,1339580,53.5000,53.5000,52.1000,52.9000,34000,2920,13690
PHR,20200709,54.5000,54.5000,53.5000,53.7000,1252690,54.5000,54.5000,53.5000,53.7000,0,3410,146910
PHR,20200708,53.0000,54.0000,52.5000,54.0000,1123750,53.0000,54.0000,52.5000,54.0000,0,0,221500
PHR,20200707,53.3000,54.5000,52.8000,53.0000,1455000,53.3000,54.5000,52.8000,53.0000,100000,54000,17360
PHR,20200706,52.7000,53.2000,52.6000,52.7000,583920,52.7000,53.2000,52.6000,52.7000,20000,0,5570
PHR,20200703,53.0000,53.7000,52.6000,52.6000,889420,53.0000,53.7000,52.6000,52.6000,0,17100,11050
PHR,20200702,51.8000,53.4000,51.4000,52.7000,1444430,51.8000,53.4000,51.4000,52.7000,0,5810,6670
PHR,20200701,49.7000,51.5000,49.6000,51.5000,821540,49.7000,51.5000,49.6000,51.5000,33800,35400,4800
PHR,20200630,50.5000,50.5000,48.7000,49.7000,646710,50.5000,50.5000,48.7000,49.7000,0,140,40060
PHR,20200629,50.5000,50.8000,49.6000,49.7000,584580,50.5000,50.8000,49.6000,49.7000,0,140,40060
PHR,20200626,51.4000,51.5000,50.2000,51.0000,493250,51.4000,51.5000,50.2000,51.0000,0,700,2720
PHR,20200625,50.0000,51.2000,49.5000,50.6000,626690,50.0000,51.2000,49.5000,50.6000,0,700,2720
PHR,20200624,52.1000,52.3000,50.6000,50.6000,929620,52.1000,52.3000,50.6000,50.6000,0,800,30240
PHR,20200623,52.3000,53.0000,51.0000,52.1000,1245440,52.3000,53.0000,51.0000,52.1000,0,102600,82930
PHR,20200622,52.3000,53.4000,52.0000,52.6000,856220,52.3000,53.4000,52.0000,52.6000,0,17720,59430
PHR,20200619,51.8000,52.3000,51.7000,52.3000,865480,51.8000,52.3000,51.7000,52.3000,0,200,27320
