<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VHC,20190911,80.00,80.00,76.50,77.00,172050,80.00,80.00,76.50,77.00,0,3190,76500
VHC,20190910,80.80,80.80,78.90,80.00,155620,80.80,80.80,78.90,80.00,0,92380,83420
VHC,20190909,79.60,81.00,79.10,80.80,50880,79.60,81.00,79.10,80.80,0,0,0
VHC,20190906,79.50,80.00,79.00,79.80,44050,79.50,80.00,79.00,79.80,0,2940,0
VHC,20190905,80.00,80.10,78.50,79.40,64170,80.00,80.10,78.50,79.40,0,2280,27330
VHC,20190904,78.60,80.70,76.80,80.00,292750,78.60,80.70,76.80,80.00,0,13170,87980
VHC,20190903,80.20,80.20,78.00,78.60,29320,80.20,80.20,78.00,78.60,0,1660,11860
VHC,20190830,78.00,80.20,76.10,80.20,203080,78.00,80.20,76.10,80.20,0,18040,105590
VHC,20190829,78.20,78.30,75.00,78.00,273420,78.20,78.30,75.00,78.00,0,410,77010
VHC,20190828,80.40,80.90,78.00,78.00,173460,80.40,80.90,78.00,78.00,0,410,77010
VHC,20190827,80.80,81.00,79.40,80.40,250950,80.80,81.00,79.40,80.40,0,79700,88520
VHC,20190826,82.70,82.80,79.90,79.90,203330,82.70,82.80,79.90,79.90,0,2440,2840
VHC,20190823,83.40,83.40,82.30,82.80,61830,83.40,83.40,82.30,82.80,0,110,340
VHC,20190822,82.60,83.10,82.30,82.40,104170,82.60,83.10,82.30,82.40,0,0,46760
VHC,20190821,82.60,83.40,82.60,82.60,227740,82.60,83.40,82.60,82.60,0,5130,166730
VHC,20190820,84.00,84.40,82.50,82.70,81220,84.00,84.40,82.50,82.70,0,4500,50000
VHC,20190819,83.00,85.00,82.20,83.00,138440,83.00,85.00,82.20,83.00,0,24310,55560
VHC,20190816,84.00,84.00,82.80,83.00,129950,84.00,84.00,82.80,83.00,0,19850,59310
VHC,20190815,82.50,84.10,82.20,84.00,96320,82.50,84.10,82.20,84.00,0,2100,18100
VHC,20190814,84.50,84.80,83.50,83.50,81750,84.50,84.80,83.50,83.50,0,1630,36430
VHC,20190813,85.50,85.50,83.70,84.80,75720,85.50,85.50,83.70,84.80,0,3520,600
VHC,20190812,84.90,85.40,84.30,85.30,76170,84.90,85.40,84.30,85.30,0,50120,2000
VHC,20190809,83.50,85.00,83.50,85.00,95390,83.50,85.00,83.50,85.00,0,0,0
VHC,20190808,82.70,83.60,81.90,83.50,184160,82.70,83.60,81.90,83.50,0,110,59790
VHC,20190807,87.00,86.10,82.20,82.70,304710,87.00,86.10,82.20,82.70,0,14080,84620
VHC,20190806,87.00,87.00,85.30,86.00,121530,87.00,87.00,85.30,86.00,0,200,900
VHC,20190805,88.10,90.00,87.00,87.00,179280,88.10,90.00,87.00,87.00,0,28500,40310
VHC,20190802,89.00,90.00,88.00,89.00,124670,89.00,90.00,88.00,89.00,0,27240,13680
VHC,20190801,88.90,89.90,88.00,89.30,109510,88.90,89.90,88.00,89.30,0,1120,32590
VHC,20190731,89.00,89.20,88.10,88.90,132000,89.00,89.20,88.10,88.90,0,37310,29130
VHC,20190730,87.90,89.00,87.50,88.30,156760,87.90,89.00,87.50,88.30,0,18820,300
VHC,20190729,87.90,88.30,86.80,87.30,95950,87.90,88.30,86.80,87.30,0,4300,0
VHC,20190726,87.90,88.40,87.80,87.90,118270,87.90,88.40,87.80,87.90,0,2300,1120
VHC,20190725,88.10,88.40,87.80,88.40,237650,88.10,88.40,87.80,88.40,0,11330,420
VHC,20190724,90.00,90.00,88.20,88.50,175110,90.00,90.00,88.20,88.50,0,11330,420
VHC,20190723,89.30,91.50,89.30,89.80,251780,89.30,91.50,89.30,89.80,0,68600,38090
VHC,20190722,91.10,91.10,88.80,90.50,203980,91.10,91.10,88.80,90.50,0,82240,5390
VHC,20190719,91.00,92.10,90.80,91.00,172930,91.00,92.10,90.80,91.00,0,33210,17660
VHC,20190718,91.00,92.20,90.30,91.80,197800,91.00,92.20,90.30,91.80,0,71620,1000
VHC,20190717,89.80,91.20,89.40,91.20,432030,89.80,91.20,89.40,91.20,0,147140,101000
VHC,20190716,90.00,90.60,89.10,89.10,151160,90.00,90.60,89.10,89.10,0,25180,10100
