<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PC1,20200522,16.80,17.00,16.75,16.80,720070,16.80,17.00,16.75,16.80,0,1610,1800
PC1,20200521,17.10,17.20,16.60,16.80,515100,17.10,17.20,16.60,16.80,45000,0,5000
PC1,20200520,17.00,17.30,17.00,17.10,260460,17.00,17.30,17.00,17.10,0,0,4710
PC1,20200519,17.50,17.60,17.00,17.10,608140,17.50,17.60,17.00,17.10,0,0,4700
PC1,20200518,17.30,17.60,16.90,17.50,601740,17.30,17.60,16.90,17.50,0,0,0
PC1,20200515,16.90,17.40,16.70,17.10,803410,16.90,17.40,16.70,17.10,0,0,10410
PC1,20200514,16.70,17.10,16.70,16.90,379940,16.70,17.10,16.70,16.90,0,0,0
PC1,20200513,16.70,17.35,16.30,17.00,831140,16.70,17.35,16.30,17.00,1587830,2000,28250
PC1,20200512,16.40,16.70,16.20,16.60,522640,16.40,16.70,16.20,16.60,576920,8870,23083482
PC1,20200511,16.70,17.10,16.15,16.70,1120310,16.70,17.10,16.15,16.70,26090302,8870,23083482
PC1,20200508,17.00,17.00,15.85,17.00,1169570,17.00,17.00,15.85,17.00,0,0,41330
PC1,20200507,16.15,16.15,15.50,16.15,1612260,16.15,16.15,15.50,16.15,0,0,41330
PC1,20200506,14.20,15.10,14.20,15.10,964100,14.20,15.10,14.20,15.10,0,0,170
PC1,20200505,14.20,14.40,14.10,14.15,168390,14.20,14.40,14.10,14.15,0,87970,101550
PC1,20200504,14.10,14.40,14.00,14.20,412500,14.10,14.40,14.00,14.20,0,87970,101550
PC1,20200429,14.25,14.40,14.00,14.10,181480,14.25,14.40,14.00,14.10,0,16000,6940
PC1,20200428,14.30,14.50,14.10,14.30,160830,14.30,14.50,14.10,14.30,0,8240,0
PC1,20200427,14.00,14.40,14.00,14.30,354940,14.00,14.40,14.00,14.30,250000,8240,0
