<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
GIL,20210818,60.0000,60.7000,59.9000,60.3000,527800,60.0000,60.7000,59.9000,60.3000,0,300,8500
GIL,20210817,60.8334,60.8334,59.0000,59.1667,707400,73.0000,73.0000,70.8000,71.0000,0,38900,1900
GIL,20210816,58.8333,60.8333,58.5000,60.4167,1063200,70.6000,73.0000,70.2000,72.5000,0,38900,1900
GIL,20210813,58.3333,59.5000,57.5000,58.3333,428600,70.0000,71.4000,69.0000,70.0000,0,36300,500
GIL,20210812,58.5834,58.6667,57.6667,58.3333,562100,70.3000,70.4000,69.2000,70.0000,0,36300,500
GIL,20210811,57.9166,58.6666,57.0833,57.6667,756500,69.5000,70.4000,68.5000,69.2000,32000,9500,700
GIL,20210810,58.3333,59.3333,57.9166,58.3333,495000,70.0000,71.2000,69.5000,70.0000,0,3000,37800
GIL,20210809,56.5834,58.3334,56.0000,58.3333,940200,67.9000,70.0000,67.2000,70.0000,0,6400,53000
GIL,20210806,57.5834,57.9167,56.2500,56.6667,825400,69.1000,69.5000,67.5000,68.0000,0,0,60600
GIL,20210805,56.6667,57.5000,56.0000,57.1667,524200,68.0000,69.0000,67.2000,68.6000,0,16800,8100
GIL,20210804,56.8333,57.0833,55.8333,56.6667,614600,68.2000,68.5000,67.0000,68.0000,0,0,0
GIL,20210803,55.9167,57.5000,55.9167,56.5000,700000,67.1000,69.0000,67.1000,67.8000,0,31500,4400
GIL,20210802,54.1667,56.5834,54.0834,55.9167,708400,65.0000,67.9000,64.9000,67.1000,0,0,0
GIL,20210730,53.8334,55.6667,53.2500,54.1667,784000,64.6000,66.8000,63.9000,65.0000,0,6200,5400
GIL,20210729,54.5000,54.5833,53.3333,54.1667,345100,65.4000,65.5000,64.0000,65.0000,0,300,1400
GIL,20210728,55.0000,55.4167,54.0000,54.0833,407400,66.0000,66.5000,64.8000,64.9000,0,0,0
GIL,20210727,54.9167,56.7500,53.8333,55.4167,577000,65.9000,68.1000,64.6000,66.5000,0,10500,49100
GIL,20210726,53.7500,55.0000,53.6667,54.2500,462500,64.5000,66.0000,64.4000,65.1000,0,0,13700
GIL,20210723,52.9167,54.0834,52.8334,53.7500,870100,63.5000,64.9000,63.4000,64.5000,0,8400,6200
GIL,20210722,48.5000,51.6666,48.5000,51.6667,501300,58.2000,62.0000,58.2000,62.0000,0,20700,97800
GIL,20210721,48.8333,49.1666,48.3333,48.5833,160600,58.6000,59.0000,58.0000,58.3000,0,0,10800
GIL,20210720,47.4166,49.1666,46.5833,48.8333,176300,56.9000,59.0000,55.9000,58.6000,0,0,17500
GIL,20210719,45.8333,48.4166,45.8333,47.0833,280700,55.0000,58.1000,55.0000,56.5000,0,9400,9100
GIL,20210716,47.5000,48.0000,47.0833,47.0833,124900,57.0000,57.6000,56.5000,56.5000,0,1900,7300
GIL,20210715,46.2500,47.5833,45.8333,47.5833,134500,55.5000,57.1000,55.0000,57.1000,0,45400,6500
GIL,20210714,46.9167,47.0834,45.3334,46.2500,305000,56.3000,56.5000,54.4000,55.5000,0,300,25700
GIL,20210713,45.9166,47.5000,45.8333,47.4167,220600,55.1000,57.0000,55.0000,56.9000,0,8500,12300
GIL,20210712,48.3333,48.5833,46.3333,46.3333,718500,58.0000,58.3000,55.6000,55.6000,0,9800,6900
GIL,20210709,50.8333,51.1667,48.3333,49.7500,304700,61.0000,61.4000,58.0000,59.7000,0,4400,125500
GIL,20210708,50.9167,51.7500,50.7500,51.2500,258200,61.1000,62.1000,60.9000,61.5000,0,16500,19900
GIL,20210707,52.5000,52.5000,50.0834,51.1667,252500,63.0000,63.0000,60.1000,61.4000,0,16500,19900
GIL,20210706,53.8333,54.1667,51.6667,51.6667,249700,64.6000,65.0000,62.0000,62.0000,0,0,0
GIL,20210705,53.8333,54.3333,52.8333,54.0000,236500,64.6000,65.2000,63.4000,64.8000,0,62700,4500
GIL,20210702,52.0833,54.5833,51.6666,53.8333,370600,62.5000,65.5000,62.0000,64.6000,0,0,0
GIL,20210701,50.1667,51.4167,49.5834,51.3333,378100,60.2000,61.7000,59.5000,61.6000,0,16500,6900
GIL,20210630,50.1666,50.2500,49.3333,49.6667,296300,60.2000,60.3000,59.2000,59.6000,0,1900,5900
GIL,20210629,48.7500,49.5000,48.7500,49.3333,193900,58.5000,59.4000,58.5000,59.2000,0,10600,500
GIL,20210628,48.3333,48.7500,48.0000,48.6667,285400,58.0000,58.5000,57.6000,58.4000,0,0,0
GIL,20210625,48.8334,49.0834,48.3334,48.5000,132400,58.6000,58.9000,58.0000,58.2000,0,7700,0
GIL,20210624,49.1667,49.3334,48.8334,48.9167,167200,59.0000,59.2000,58.6000,58.7000,0,100,4900
GIL,20210623,50.2500,50.4167,48.7500,49.1667,437200,60.3000,60.5000,58.5000,59.0000,0,0,154100
GIL,20210622,50.0833,51.2500,49.5833,50.1667,259800,60.1000,61.5000,59.5000,60.2000,0,200,10100
GIL,20210621,50.2500,50.4167,49.1667,49.7500,243900,60.3000,60.5000,59.0000,59.7000,0,200,13100
GIL,20210618,50.2500,50.7500,50.2500,50.2500,242800,60.3000,60.9000,60.3000,60.3000,0,900,8700
