<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TIP,20190805,39.90,39.90,38.50,39.30,90440,39.90,39.90,38.50,39.30,0,0,2200
TIP,20190802,39.20,40.20,39.20,39.70,193250,39.20,40.20,39.20,39.70,0,0,60110
TIP,20190801,38.80,40.00,38.60,39.50,405960,38.80,40.00,38.60,39.50,0,50120,156350
TIP,20190731,38.50,38.90,37.95,38.45,59530,38.50,38.90,37.95,38.45,0,280,9380
TIP,20190730,38.00,39.50,37.50,38.50,175260,38.00,39.50,37.50,38.50,0,11440,19830
TIP,20190729,34.90,37.30,34.50,37.30,102160,34.90,37.30,34.50,37.30,0,6430,500
TIP,20190726,35.00,35.00,34.20,34.90,56800,35.00,35.00,34.20,34.90,0,39070,4080
TIP,20190725,35.00,35.50,34.80,35.00,70610,35.00,35.50,34.80,35.00,0,444080,403000
TIP,20190724,34.50,35.20,33.90,35.00,103140,34.50,35.20,33.90,35.00,0,444080,403000
TIP,20190723,35.30,35.40,34.35,34.70,236870,35.30,35.40,34.35,34.70,0,129000,74800
TIP,20190722,34.50,34.65,33.50,34.65,123780,34.50,34.65,33.50,34.65,0,4280,230
TIP,20190719,30.80,32.40,29.50,32.40,108160,30.80,32.40,29.50,32.40,0,24380,0
TIP,20190718,30.80,31.80,29.90,30.30,39170,30.80,31.80,29.90,30.30,0,1000,1000
TIP,20190717,32.00,32.00,29.80,30.90,76910,32.00,32.00,29.80,30.90,0,2000,1560
TIP,20190716,32.10,32.50,30.50,32.00,40210,32.10,32.50,30.50,32.00,0,900,0
TIP,20190715,31.00,34.00,30.00,32.10,142330,31.00,34.00,30.00,32.10,0,2200,20
TIP,20190712,31.00,33.15,30.80,32.10,97270,31.00,33.15,30.80,32.10,0,300,1000
TIP,20190711,31.40,31.40,30.20,31.00,52100,31.40,31.40,30.20,31.00,0,1510,0
TIP,20190710,28.45,30.00,28.35,30.00,308960,28.45,30.00,28.35,30.00,0,1510,0
TIP,20190709,27.80,28.50,27.50,28.05,27280,27.80,28.50,27.50,28.05,0,0,0
TIP,20190708,28.00,28.70,27.50,28.00,40350,28.00,28.70,27.50,28.00,0,2000,0
TIP,20190705,28.35,29.00,28.35,28.50,56680,28.35,29.00,28.35,28.50,0,0,0
TIP,20190704,29.00,28.30,27.60,28.20,48270,29.00,28.30,27.60,28.20,0,0,3000
TIP,20190703,29.00,29.00,27.40,27.50,29180,29.00,29.00,27.40,27.50,0,0,1000
TIP,20190702,28.00,28.90,28.00,28.00,20930,28.00,28.90,28.00,28.00,0,0,0
TIP,20190701,27.80,29.30,27.30,28.30,193240,27.80,29.30,27.30,28.30,0,1600,85230
TIP,20190628,27.80,27.80,27.15,27.80,20940,27.80,27.80,27.15,27.80,0,0,0
TIP,20190627,27.20,28.40,27.00,27.20,27660,27.20,28.40,27.00,27.20,0,0,700
TIP,20190626,27.00,28.00,27.00,27.00,11830,27.00,28.00,27.00,27.00,0,0,700
TIP,20190625,28.00,28.35,27.50,27.60,80790,28.00,28.35,27.50,27.60,0,31040,0
TIP,20190624,28.60,29.50,28.20,28.20,43690,28.60,29.50,28.20,28.20,0,2680,0
TIP,20190621,28.90,29.95,28.00,28.90,66390,28.90,29.95,28.00,28.90,0,700,0
TIP,20190620,26.50,28.00,25.00,28.00,160950,26.50,28.00,25.00,28.00,0,3420,0
TIP,20190619,26.20,26.30,25.50,26.20,51580,26.20,26.30,25.50,26.20,0,0,0
TIP,20190618,25.20,25.90,24.80,25.50,77490,25.20,25.90,24.80,25.50,0,0,0
TIP,20190617,26.10,26.60,25.60,26.00,48410,26.10,26.60,25.60,26.00,0,0,0
TIP,20190614,27.30,27.30,25.50,25.70,51620,27.30,27.30,25.50,25.70,0,3850,0
TIP,20190613,27.40,27.50,26.70,27.00,38510,27.40,27.50,26.70,27.00,0,3000,0
TIP,20190612,26.00,27.80,25.60,27.25,63520,26.00,27.80,25.60,27.25,0,0,260
TIP,20190611,28.30,28.30,26.30,26.30,97270,28.30,28.30,26.30,26.30,0,0,700
TIP,20190610,27.30,28.65,27.30,27.90,87890,27.30,28.65,27.30,27.90,0,0,0
TIP,20190607,28.00,28.70,28.00,28.65,118280,28.00,28.70,28.00,28.65,0,260,0
TIP,20190606,26.00,26.85,25.90,26.85,279400,26.00,26.85,25.90,26.85,0,700,0
TIP,20190605,23.80,25.10,23.80,25.10,159970,23.80,25.10,23.80,25.10,0,0,0
TIP,20190604,23.25,23.50,22.90,23.50,110110,23.25,23.50,22.90,23.50,0,0,0
TIP,20190603,21.60,22.50,21.60,22.00,48280,21.60,22.50,21.60,22.00,0,0,0
TIP,20190531,22.80,23.80,21.50,22.50,118710,22.80,23.80,21.50,22.50,0,0,100
TIP,20190530,20.80,22.45,20.80,22.45,78020,20.80,22.45,20.80,22.45,0,0,0
TIP,20190529,22.00,22.90,21.00,21.00,176500,22.00,22.90,21.00,21.00,0,0,0
TIP,20190528,21.20,21.70,20.40,21.70,102500,21.20,21.70,20.40,21.70,0,100,0
TIP,20190527,18.70,20.30,18.70,20.30,119010,18.70,20.30,18.70,20.30,0,0,0
TIP,20190524,19.75,19.75,19.00,19.00,25090,19.75,19.75,19.00,19.00,0,0,0
TIP,20190523,19.25,19.25,19.20,19.25,10890,19.25,19.25,19.20,19.25,0,0,0
TIP,20190522,19.60,19.60,18.60,19.25,12770,19.60,19.60,18.60,19.25,0,90,0
TIP,20190521,19.65,19.75,19.50,19.60,8380,19.65,19.75,19.50,19.60,0,0,0
TIP,20190520,19.30,19.70,19.20,19.65,14370,19.30,19.70,19.20,19.65,0,0,0
TIP,20190517,19.60,19.60,18.50,19.30,8200,19.60,19.60,18.50,19.30,0,0,0
TIP,20190516,20.00,20.00,19.30,19.70,2810,20.00,20.00,19.30,19.70,0,0,0
TIP,20190515,19.50,19.50,18.90,19.10,7690,19.50,19.50,18.90,19.10,0,0,0
TIP,20190514,19.50,19.50,18.70,19.35,18210,19.50,19.50,18.70,19.35,0,0,0
TIP,20190513,19.20,19.25,18.67,19.15,17290,19.70,19.75,19.15,19.65,0,0,0
TIP,20190510,18.51,19.29,18.51,19.30,8230,19.00,19.80,19.00,19.80,0,0,0
TIP,20190509,17.89,18.62,17.89,18.61,1210,18.35,19.10,18.35,19.10,0,0,0
TIP,20190508,17.68,18.90,17.68,18.13,17500,18.15,19.40,18.15,18.60,0,0,0
TIP,20190507,18.12,18.12,17.83,17.83,5940,18.60,18.60,18.30,18.30,0,0,0
TIP,20190506,18.52,18.52,17.84,17.83,9730,19.00,19.00,18.30,18.30,0,0,0
TIP,20190503,19.15,19.20,18.32,18.52,16340,19.65,19.70,18.80,19.00,0,0,0
TIP,20190502,19.59,19.59,19.20,19.20,3400,20.10,20.10,19.70,19.70,0,0,0
