<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TDM,20200821,23.6500,24.0000,23.6500,23.9500,141560,23.6500,24.0000,23.6500,23.9500,0,3310,100610
TDM,20200820,24.2000,24.5000,23.8000,23.8000,190560,24.2000,24.5000,23.8000,23.8000,0,3310,100610
TDM,20200819,23.9500,24.0000,23.7500,24.0000,278930,23.9500,24.0000,23.7500,24.0000,0,3350,115310
TDM,20200818,24.0000,24.0000,23.6000,23.7000,306760,24.0000,24.0000,23.6000,23.7000,0,1320,205120
TDM,20200817,23.4500,23.9000,23.4500,23.4500,214330,23.4500,23.9000,23.4500,23.4500,0,0,138440
TDM,20200814,24.3000,24.3000,23.6000,23.8500,155950,24.3000,24.3000,23.6000,23.8500,0,0,111100
TDM,20200813,23.6000,24.2000,23.5000,24.2000,381920,23.6000,24.2000,23.5000,24.2000,0,0,303130
TDM,20200812,23.8000,23.9000,23.5500,23.6000,420910,23.8000,23.9000,23.5500,23.6000,29000,1000,246150
TDM,20200811,24.0000,24.0000,23.7500,23.8000,434480,24.0000,24.0000,23.7500,23.8000,0,48340,359420
TDM,20200810,24.6000,24.9500,24.0000,24.0000,423970,24.6000,24.9500,24.0000,24.0000,0,61000,294920
TDM,20200807,24.5000,24.9000,24.5000,24.7000,128760,24.5000,24.9000,24.5000,24.7000,0,40000,56160
TDM,20200806,25.0000,25.1000,24.8000,24.8000,199800,25.0000,25.1000,24.8000,24.8000,0,50100,96200
TDM,20200805,24.9500,25.3000,24.8000,25.0000,292600,24.9500,25.3000,24.8000,25.0000,0,45220,500
TDM,20200804,25.5000,25.5000,24.8000,24.9500,170310,25.5000,25.5000,24.8000,24.9500,0,26500,1470
TDM,20200803,24.6000,25.0000,24.6000,25.0000,71780,24.6000,25.0000,24.6000,25.0000,0,12010,200
TDM,20200731,24.5000,25.3000,24.1000,24.8000,222400,24.5000,25.3000,24.1000,24.8000,0,37560,5140
TDM,20200730,23.5000,24.7000,23.5000,24.6000,196040,23.5000,24.7000,23.5000,24.6000,0,50260,1320
TDM,20200729,23.5000,23.5000,22.5000,23.5000,239500,23.5000,23.5000,22.5000,23.5000,0,50260,1320
TDM,20200728,22.2000,23.8000,22.2000,23.5000,72000,22.2000,23.8000,22.2000,23.5000,0,18230,0
TDM,20200727,22.6000,23.8000,22.4000,22.4000,297850,22.6000,23.8000,22.4000,22.4000,0,59760,3420
TDM,20200724,25.0000,25.1500,23.5500,24.0500,129670,25.0000,25.1500,23.5500,24.0500,0,2810,5110
TDM,20200723,25.6000,25.6000,25.0000,25.3000,59180,25.6000,25.6000,25.0000,25.3000,0,2810,5110
TDM,20200722,24.8000,25.7000,24.7500,25.4000,227290,24.8000,25.7000,24.7500,25.4000,0,31560,3150
TDM,20200721,24.4000,24.8000,23.9000,24.8000,91670,24.4000,24.8000,23.9000,24.8000,0,31560,3150
TDM,20200720,24.4000,24.6000,24.2500,24.4000,81160,24.4000,24.6000,24.2500,24.4000,0,400,1770
TDM,20200717,24.0000,24.3500,24.0000,24.3500,110050,24.0000,24.3500,24.0000,24.3500,0,13270,2230
TDM,20200716,23.9500,24.0000,23.9000,24.0000,98280,23.9500,24.0000,23.9000,24.0000,0,13270,2230
TDM,20200715,23.8000,23.8500,23.7500,23.8000,27380,23.8000,23.8500,23.7500,23.8000,0,4120,2310
TDM,20200714,24.0000,24.0000,23.6000,23.8000,62040,24.0000,24.0000,23.6000,23.8000,0,8860,4840
TDM,20200713,24.2000,24.2000,23.9000,24.0000,116840,24.2000,24.2000,23.9000,24.0000,0,17060,90
TDM,20200710,24.0000,24.0000,23.8000,24.0000,66670,24.0000,24.0000,23.8000,24.0000,0,9720,3360
TDM,20200709,24.1500,24.1500,23.9500,24.0000,118410,24.1500,24.1500,23.9500,24.0000,0,47290,320
TDM,20200708,24.0000,24.1000,23.8000,24.1000,138230,24.0000,24.1000,23.8000,24.1000,0,14530,760
TDM,20200707,23.9500,24.0500,23.6500,24.0000,119580,23.9500,24.0500,23.6500,24.0000,0,17310,3420
TDM,20200706,23.8000,24.0000,23.5000,23.8000,141320,23.8000,24.0000,23.5000,23.8000,0,26240,890
TDM,20200703,23.8000,23.8000,23.0000,23.7000,85240,23.8000,23.8000,23.0000,23.7000,0,32570,3350
TDM,20200702,23.4000,23.4500,23.2000,23.3000,37650,23.4000,23.4500,23.2000,23.3000,0,9300,8930
TDM,20200701,22.6500,23.4000,22.6000,23.4000,49590,22.6500,23.4000,22.6000,23.4000,0,9300,8930
TDM,20200630,22.9000,23.0000,22.6000,22.7000,164780,22.9000,23.0000,22.6000,22.7000,0,21320,2050
TDM,20200629,23.7000,23.8000,22.5000,22.6000,97820,23.7000,23.8000,22.5000,22.6000,0,21320,2050
TDM,20200626,23.8000,24.0000,23.7000,23.8000,44850,23.8000,24.0000,23.7000,23.8000,0,10690,30850
TDM,20200625,23.5000,24.0000,23.4500,23.7500,76390,23.5000,24.0000,23.4500,23.7500,0,10690,30850
TDM,20200624,23.6000,23.9000,23.4500,23.7000,123190,23.6000,23.9000,23.4500,23.7000,0,17850,11090
TDM,20200623,23.8000,24.0000,23.7000,23.7000,100520,23.8000,24.0000,23.7000,23.7000,0,49100,1420
TDM,20200622,23.8000,24.1000,23.7500,23.8000,193380,23.8000,24.1000,23.7500,23.8000,0,81750,3460
TDM,20200619,24.0000,24.2000,24.0000,24.0500,176140,24.0000,24.2000,24.0000,24.0500,0,66250,2250
TDM,20200618,23.9000,24.4500,23.8000,24.0000,231110,23.9000,24.4500,23.8000,24.0000,0,88720,2570
TDM,20200617,23.6000,24.5000,23.5500,23.9000,308600,23.6000,24.5000,23.5500,23.9000,0,118580,1220
TDM,20200616,23.1000,23.7000,23.1000,23.6000,247660,23.1000,23.7000,23.1000,23.6000,0,118580,1220
TDM,20200615,23.2500,23.7000,22.8000,23.1000,288860,23.2500,23.7000,22.8000,23.1000,0,132140,9710
TDM,20200612,22.5000,23.6000,22.4000,23.2500,301750,22.5000,23.6000,22.4000,23.2500,0,150720,11360
TDM,20200611,23.9000,24.2500,23.5000,23.5000,351760,23.9000,24.2500,23.5000,23.5000,0,174770,4740
