<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PPC,20210809,22.7500,23.2000,22.4000,23.2000,396600,22.7500,23.2000,22.4000,23.2000,0,5900,247400
PPC,20210806,22.9500,23.0000,22.4500,22.8000,231100,22.9500,23.0000,22.4500,22.8000,0,19000,3000
PPC,20210805,22.6000,23.0000,22.4500,22.9500,199700,22.6000,23.0000,22.4500,22.9500,0,6800,28900
PPC,20210804,22.5500,22.7000,22.5000,22.5500,121600,22.5500,22.7000,22.5000,22.5500,0,0,0
PPC,20210803,22.7000,22.8000,22.5000,22.5500,74800,22.7000,22.8000,22.5000,22.5500,0,17200,12500
PPC,20210802,22.6000,22.8000,22.5000,22.7000,98300,22.6000,22.8000,22.5000,22.7000,0,17200,12500
PPC,20210730,22.4000,22.4000,22.2000,22.3000,162100,22.4000,22.4000,22.2000,22.3000,0,7800,78800
PPC,20210729,22.7000,23.0000,22.2000,22.4000,210700,22.7000,23.0000,22.2000,22.4000,0,7800,78800
PPC,20210728,22.8000,22.8000,22.4000,22.5000,110600,22.8000,22.8000,22.4000,22.5000,0,0,0
PPC,20210727,22.9500,22.9500,22.6500,22.6500,68200,22.9500,22.9500,22.6500,22.6500,0,4100,12500
PPC,20210726,22.8500,23.0000,22.5000,23.0000,381300,22.8500,23.0000,22.5000,23.0000,0,19600,25900
PPC,20210723,23.1000,23.1000,22.8500,22.8500,62700,23.1000,23.1000,22.8500,22.8500,0,12800,18100
PPC,20210722,23.0000,23.1000,22.8000,23.0500,101900,23.0000,23.1000,22.8000,23.0500,0,11600,1000
PPC,20210721,22.9000,23.4000,22.9000,23.1000,83900,22.9000,23.4000,22.9000,23.1000,0,44000,4300
PPC,20210720,23.0000,23.2000,22.7000,23.2000,99000,23.0000,23.2000,22.7000,23.2000,0,27800,0
PPC,20210719,23.0500,23.1000,22.7000,23.0500,183600,23.0500,23.1000,22.7000,23.0500,0,53500,600
PPC,20210716,23.5000,23.5000,23.3000,23.5000,91500,23.5000,23.5000,23.3000,23.5000,0,55200,0
PPC,20210715,23.2000,23.5000,22.7000,23.5000,198900,23.2000,23.5000,22.7000,23.5000,0,66500,100
PPC,20210714,23.3507,23.7304,23.0185,23.3507,206500,24.6000,25.0000,24.2500,24.6000,0,91100,900
PPC,20210713,22.7812,23.3508,22.6863,23.3507,144300,24.0000,24.6000,23.9000,24.6000,0,43700,15000
PPC,20210712,23.4931,23.4931,21.8794,22.6863,462900,24.7500,24.7500,23.0500,23.9000,0,116100,3300
PPC,20210709,23.7304,23.8253,23.3982,23.4931,224500,25.0000,25.1000,24.6500,24.7500,0,32300,3600
PPC,20210708,23.5406,23.7304,23.4931,23.7304,134700,24.8000,25.0000,24.7500,25.0000,0,87000,8900
PPC,20210707,23.6355,23.7304,23.3507,23.7304,384400,24.9000,25.0000,24.6000,25.0000,0,87000,8900
PPC,20210706,24.0152,24.0152,23.5405,23.6355,501200,25.3000,25.3000,24.8000,24.9000,0,0,0
PPC,20210705,24.3000,24.3949,23.6355,24.2050,339800,25.6000,25.7000,24.9000,25.5000,0,23600,111000
PPC,20210702,24.5847,24.6796,24.1101,24.3000,253000,25.9000,26.0000,25.4000,25.6000,0,0,0
PPC,20210701,23.8728,24.6797,23.7305,24.6796,604900,25.1500,26.0000,25.0000,26.0000,0,34500,3600
PPC,20210630,23.7305,23.8254,23.6355,23.6830,188200,25.0000,25.1000,24.9000,24.9500,0,24700,16300
PPC,20210629,24.0152,24.0152,23.5406,23.6830,216600,25.3000,25.3000,24.8000,24.9500,0,4000,7000
PPC,20210628,23.9202,23.9202,23.5880,23.7304,189500,25.2000,25.2000,24.8500,25.0000,0,0,0
PPC,20210625,24.0152,24.0152,23.7305,23.8253,298000,25.3000,25.3000,25.0000,25.1000,0,109500,7400
PPC,20210624,23.7304,24.2051,23.7304,23.9203,555800,25.0000,25.5000,25.0000,25.2000,0,48300,5600
PPC,20210623,23.5880,23.7304,23.2558,23.5406,183100,24.8500,25.0000,24.5000,24.8000,0,5300,11100
PPC,20210622,24.1101,24.1101,23.5881,23.5880,280300,25.4000,25.4000,24.8500,24.8500,0,2580,270
PPC,20210621,22.8287,24.2051,23.1135,24.0152,504800,24.0500,25.5000,24.3500,25.3000,0,16200,2500
PPC,20210618,22.7812,23.1609,22.7812,22.8287,186700,24.0000,24.4000,24.0000,24.0500,0,0,3000
PPC,20210617,22.6863,23.1134,22.6863,22.7812,213500,23.9000,24.3500,23.9000,24.0000,0,8300,19000
PPC,20210616,22.9710,22.9710,22.6862,22.7812,196100,24.2000,24.2000,23.9000,24.0000,0,8300,19000
PPC,20210615,22.7812,22.9710,22.6863,22.7337,134000,24.0000,24.2000,23.9000,23.9500,0,8500,3700
PPC,20210614,22.4964,22.7812,22.4964,22.5439,123100,23.7000,24.0000,23.7000,23.7500,0,34600,900
PPC,20210611,22.6863,22.6863,22.4964,22.4964,198200,23.9000,23.9000,23.7000,23.7000,0,48200,19800
PPC,20210610,22.4015,22.7337,22.3541,22.5439,162200,23.6000,23.9500,23.5500,23.7500,0,99300,13800
PPC,20210609,22.4015,22.5913,22.1642,22.5439,136000,23.6000,23.8000,23.3500,23.7500,0,7300,16800
PPC,20210608,22.7812,22.9710,22.4964,22.4964,196200,24.0000,24.2000,23.7000,23.7000,0,23200,13100
PPC,20210607,23.0185,23.0659,22.6863,22.7337,210500,24.2500,24.3000,23.9000,23.9500,0,14700,0
PPC,20210604,22.9710,23.2558,22.7812,22.8761,186300,24.2000,24.5000,24.0000,24.1000,0,20800,24100
PPC,20210603,22.3066,23.0185,22.3066,22.9710,484300,23.5000,24.2500,23.5000,24.2000,0,3600,32900
PPC,20210602,22.0218,22.3066,22.0218,22.2591,330600,23.2000,23.5000,23.2000,23.4500,0,98800,64200
PPC,20210601,22.0218,22.0693,21.8794,22.0218,142200,23.2000,23.2500,23.0500,23.2000,0,26900,0
PPC,20210531,22.1167,22.1167,21.9269,22.0218,175200,23.3000,23.3000,23.1000,23.2000,0,25500,1000
PPC,20210528,21.8320,22.2117,21.7845,22.0218,315700,23.0000,23.4000,22.9500,23.2000,0,5200,1200
PPC,20210527,22.4964,22.4964,21.9743,22.0693,285100,23.7000,23.7000,23.1500,23.2500,0,37200,9100
PPC,20210526,22.6863,22.8761,22.4490,22.4964,149800,23.9000,24.1000,23.6500,23.7000,0,37200,9100
PPC,20210525,22.5914,22.6863,22.4965,22.6388,403100,23.8000,23.9000,23.7000,23.8500,0,37400,500
PPC,20210524,22.4964,22.6388,22.2117,22.5914,254000,23.7000,23.8500,23.4000,23.8000,289000,34000,0
PPC,20210521,22.2116,22.5439,22.0693,22.4015,124100,23.4000,23.7500,23.2500,23.6000,0,3600,8000
